PotenciaWts;PotenciaHP;Carcaca;ConjugadoNominal;CorrenteRotorBloqueado;ConjugadoRotorBloqueado;ConjugadoMaximo;MomentoInercia;TempoMaximoRotorBloqQuente;TempoMaximoRotorBloqFrio;Peso;NivelPressaoSonora;FatorServico;RPM;RendimentoH1;RendimentoH2;RendimentoH3;PorcCarga;FatorPotencia;FatorPotencia2;CorrenteNominal
0,12;0,16;71;0,145;2,8;1,8;2,0;0,0008;122;268;9,0;45;1,15;805;43,0;51,0;53,0;0,33;0,41;0,49;1,22
0,18;0,25;80;0,209;3,6;2,05;2,2;0,0024;41;90;11,5;46;1,15;840;46,0;53,0;56,0;0,43;0,53;0,62;1,35
0,25;0,33;80;0,290;3,7;2,1;2,3;0,0029;39;86;13,5;46;1,15;840;52,0;58,0;59,0;0,42;0,53;0,63;1,76
0,37;0,5;90S;0,429;3,4;1,7;2,3;0,0049;40;88;18,0;47;1,15;840;58,0;63,0;65,0;0,40;0,51;0,60;2,48
0,55;0,75;90L;0,642;3,5;1,9;2,3;0,0055;35;77;21,5;47;1,15;835;62,0;65,0;66,0;0,40;0,52;0,60;3,64
0,75;1;90L;0,875;3,8;1,95;2,25;0,0066;26;57;23,0;47;1,15;835;64,0;68,0;70,0;0,42;0,54;0,62;4,54
1,1;1,5;100L;1,25;4,6;2;2,5;0,0127;39;86;30,5;54;1,15;855;73,0;78,0;78,0;0,40;0,52;0,61;6,04
1,5;2;112M;1,71;5,3;2,4;2,5;0,0220;44;97;40,0;54;1,15;855;80,0;83,0;83,5;0,48;0,62;0,70;6,72
2,2;3;132S;2,49;5,9;1,95;2,3;0,0740;48;106;65,0;52;1,15;860;82,5;84,5;84,5;0,53;0,65;0,74;9,24
3;4;132M;3,40;6,4;2,45;2,7;0,0838;32;70;75,0;52;1,15;860;83,0;84,5;85,1;0,51;0,64;0,73;12,7
3,7;5;132M/L;4,19;5,9;2,15;2,5;0,1033;28;62;90,0;52;1,15;860;83,0;85,0;85,6;0,52;0,65;0,73;15,5
4,5;6;160M;4,98;5,1;1,9;2,4;0,1221;30;66;107;54;1,15;880;85,5;87,0;87,0;0,48;0,61;0,69;19,7
5,5;7,5;160M;6,09;5,0;1,8;2,3;0,1436;25;55;117;54;1,15;880;86,5;88,0;87,5;0,51;0,53;0,71;23,2
7,5;10;160L;8,35;5,0;1,9;2,3;0,1652;25;55;135;54;1,15;875;88,0;89,5;89,5;0,51;0,64;0,71;31,0
9,2;12,5;180M;10,2;6,8;2;2,6;0,2029;11;24;156;54;1,15;875;89,5;90,0;90,0;0,60;0,72;0,78;34,4
11;15;180L;12,2;7,0;2,1;2,7;0,2137;9;20;171;54;1,15;875;89,5;90,4;90,4;0,60;0,72;0,78;41,0
15;20;180L;16,7;7,0;2,2;2,7;0,2620;8;18;181;54;1,15;875;90,0;91,0;90,5;0,60;0,72;0,79;55,0
18,5;25;200L;20,6;4,5;1,7;1,8;0,4126;23;51;212;56;1,15;875;90,6;91,0;91,0;0,58;0,70;0,76;70,2
22;30;225S/M;24,2;6,7;1,9;2,5;0,8472;12;26;349;60;1,15;885;91,7;91,9;91,7;0,65;0,76;0,81;77,8
30;40;225S/M;33,0;6,8;2;2,6;0,9884;11;24;381;60;1,15;885;92,0;92,2;92,2;0,65;0,76;0,81;105
37;50;250S/M;41,0;6,8;2;2,9;1,22;10;22;442;60;1,15;880;92,6;92,7;92,6;0,64;0,76;0,81;129
45;60;250S/M;49,8;6,9;2;2,9;1,36;10;22;457;60;1,15;880;92,6;92,8;92,6;0,64;0,76;0,81;157
55;75;280S/M;60,5;6,0;1,9;2,1;2,64;17;37;648;63;1,15;885;93,2;93,9;93,5;0,63;0,74;0,78;198
75;100;280S/M;82,5;6,0;1,9;2,1;3,45;13;29;706;63;1,15;885;93,7;94,0;93,7;0,63;0,74;0,78;270
90;125;315S/M;98,5;5,8;1,8;2;4,37;25;55;967;66;1,15;890;93,9;94,2;94,2;0,67;0,77;0,79;318
110;150;315S/M;120;5,8;1,8;2;5,63;26;57;1043;66;1,15;890;94,0;94,5;94,5;0,67;0,77;0,79;386
132;175;355M/L;144;6,0;1,4;2,2;11,0;50;110;1424;75;1,15;895;94,3;95,0;95,0;0,63;0,74;0,79;462
150;200;355M/L;163;6,0;1,4;2,1;12,3;50;110;1511;75;1,15;895;94,5;95,2;95,2;0,63;0,74;0,79;524
185;250;355M/L;201;6,2;1,5;2,2;14,7;48;106;1653;75;1,15;895;94,6;95,3;95,3;0,64;0,75;0,80;636
220;300;355M/L;239;6,0;1,5;2,1;17,2;44;97;1793;75;1,15;895;94,8;95,5;95,5;0,66;0,76;0,80;756
260;350;355M/L;283;6,3;1,5;2,1;18,4;36;79;1955;75;1,15;895;95,0;95,5;95,5;0,66;0,76;0,80;894
300;400;355M/L*;326;6,3;1,8;2,4;19,9;33;73;1955;75;1,00;895;95,0;95,5;95,5;0,62;0,73;0,78;1060
330;450;355A/B;359;6,5;1,6;2,3;25,9;46;101;2395;75;1,00;895;95,2;95,7;95,8;0,63;0,74;0,80;1130
