PotenciaWts;PotenciaHP;Carcaca;ConjugadoNominal;CorrenteRotorBloqueado;ConjugadoRotorBloqueado;ConjugadoMaximo;MomentoInercia;TempoMaximoRotorBloqQuente;TempoMaximoRotorBloqFrio;Peso;NivelPressaoSonora;FatorServico;RPM;RendimentoH1;RendimentoH2;RendimentoH3;PorcCarga;FatorPotencia;FatorPotencia2;CorrenteNominal
0,12;0,16;63;0,068;4,6;2,5;3,2;0,0004;37;81;6,2;48;1,15;1715;50,0;57,0;61,0;0,44;0,55;0,64;0,805
0,18;0,25;63;0,103;4,7;2,4;2,9;0,0006;29;64;7,2;48;1,15;1705;57,0;64,0;67,0;0,47;0,59;0,68;1,03
0,25;0,33;63;0,143;5,0;2,55;2,95;0,0007;26;57;8,2;48;1,15;1705;62,0;68,0;70,0;0,47;0,60;0,69;1,35
0,37;0,5;71;0,213;5,0;2,2;2,3;0,0007;35;77;8,0;47;1,15;1690;63,0;68,0;70,0;0,45;0,59;0,69;2,00
0,55;0,75;71;0,317;5,3;2,5;2,5;0,0009;31;68;11,5;47;1,15;1690;67,0;71,0;72,0;0,44;0,56;0,66;2,95
0,75;1;80;0,426;6,6;2,6;2,7;0,0026;15;33;12,5;48;1,15;1715;77,5;80,0;80,5;0,64;0,77;0,84;2,91
1,1;1,5;80;0,625;6,8;3,15;3;0,0032;11;24;14,5;48;1,15;1715;78,0;81,0;81,6;0,58;0,71;0,79;4,48
1,5;2;90S;0,835;7,1;2,2;3;0,0066;11;24;18,5;51;1,15;1750;81,0;83,5;84,2;0,57;0,70;0,78;5,98
2,2;3;90L;1,24;6,5;1,95;2,5;0,0077;10;22;23,0;51;1,15;1735;83,8;84,8;85,1;0,64;0,76;0,83;8,18
3;4;100L;1,70;6,4;2,7;2,9;0,0096;14;31;30,0;54;1,15;1715;85,6;86,3;86,5;0,63;0,75;0,82;11,1
3,7;5;100L;2,08;8,0;3;3,6;0,0119;11;24;34,0;54;1,15;1735;85,0;87,0;88,0;0,59;0,72;0,80;13,7
4,5;6;112M;2,52;6,2;2,1;2,75;0,0180;18;40;42,0;56;1,15;1740;88,0;88,5;88,5;0,62;0,74;0,81;16,6
5,5;7,5;112M;3,08;6,3;2,1;2,7;0,0206;16;35;44,0;56;1,15;1740;88,4;89,1;90,0;0,59;0,72;0,79;20,2
7,5;10;132S;4,15;7,9;2;3,2;0,0563;12;26;68,0;58;1,15;1760;90,0;90,8;91,0;0,66;0,78;0,84;25,8
9,2;12,5;132M;5,09;8,0;2,05;3,1;0,0638;10;22;75,0;58;1,15;1760;90,0;90,8;91,0;0,67;0,79;0,84;31,4
11;15;132M/L;6,09;8,2;2,15;3,2;0,0672;8;18;78,0;58;1,15;1760;90,5;91,2;91,7;0,67;0,79;0,85;37,2
15;20;160M;8,23;6,8;2,7;3;0,0954;11;24;120;64;1,15;1775;91,0;92,4;92,4;0,64;0,75;0,81;52,6
18,5;25;160L;10,2;6,8;2,7;3;0,1154;10;22;135;64;1,15;1765;92,0;92,8;92,8;0,64;0,75;0,81;64,6
22;30;180M;12,1;6,4;2,3;2,7;0,1615;19;42;168;64;1,15;1765;92,5;92,8;93,0;0,71;0,81;0,84;74,0
30;40;200M;16,5;6,2;2;2,3;0,2758;18;40;195;68;1,15;1770;92,7;93,2;93,4;0,72;0,81;0,85;99,2
37;50;200L;20,4;6,2;2,5;2,6;0,3310;14;31;227;68;1,15;1770;93,0;93,2;93,6;0,72;0,80;0,85;122
45;60;225S/M;24,7;7,2;2,4;2,6;0,6474;12;26;367;70;1,15;1775;93,5;93,7;94,1;0,76;0,83;0,86;146
55;75;225S/M;30,2;7,2;2,4;2,6;0,7699;12;26;386;70;1,15;1775;93,9;94,2;94,4;0,77;0,84;0,87;176
75;100;250S/M;41,2;7,2;2,4;2,8;1,01;12;26;470;70;1,15;1775;94,0;94,5;94,6;0,74;0,83;0,87;240
90;125;280S/M;49,1;7,2;2,1;2,6;1,93;20;44;636;73;1,15;1785;94,0;94,8;94,9;0,73;0,82;0,85;292
110;150;280S/M;60,0;7,3;2,1;2,6;2,57;18;40;684;73;1,15;1785;94,3;94,8;95,2;0,75;0,83;0,86;352
132;175;315S/M;71,8;7,1;2,1;2,4;2,65;18;40;903;75;1,15;1790;94,0;95,0;95,3;0,74;0,82;0,85;428
150;200;315S/M;81,6;7,0;2,2;2,3;3,21;20;44;947;75;1,15;1790;94,5;95,5;95,5;0,75;0,83;0,86;480
185;250;315S/M;101;7,0;2,2;2,3;3,77;18;40;1018;75;1,15;1790;95,0;95,5;95,7;0,77;0,84;0,87;584
200;270;355M/L;109;7,0;2,2;2,2;5,77;20;44;1291;81;1,15;1790;94,8;95,6;95,8;0,77;0,84;0,86;638
220;300;355M/L;120;7,2;2,2;2,3;5,80;23;51;1350;81;1,15;1790;95,2;95,8;95,9;0,77;0,84;0,86;700
260;350;355M/L;141;7,3;2;2,2;6,86;15;33;1431;81;1,15;1790;95,4;96,0;96,0;0,77;0,84;0,87;816
300;400;355M/L;163;7,0;2,4;2,3;7,20;14;31;1527;81;1,15;1790;95,7;96,1;96,1;0,77;0,84;0,87;942
330;450;355M/L;180;7,0;2,1;2,3;8,61;19;42;1662;81;1,15;1790;96,0;96,1;96,1;0,77;0,83;0,86;1050
370;500;355M/L;201;7,6;2,6;2,6;10,2;12;26;1833;81;1,15;1790;96,0;96,1;96,1;0,75;0,82;0,85;1190
400;550;355M/L;218;7,3;2,5;2,6;11,1;14;31;1916;81;1,15;1790;96,1;96,4;96,4;0,74;0,82;0,86;1270
440;600;355M/L;239;7,1;2,2;2,5;11,6;16;35;1966;81;1,15;1790;96,2;96,4;96,5;0,74;0,82;0,86;1430
480;650;355A/B;261;7,4;2,5;2,7;12,7;22;48;1993;81;1,00;1790;96,0;96,5;96,6;0,71;0,81;0,85;1530
515,2;700;355A/B;280;7,4;2,6;2,7;13,4;26;57;2079;81;1,00;1790;96,2;96,5;96,6;0,71;0,81;0,85;1650
550;750;355A/B;299;7,6;2,7;2,7;14,6;22;48;2246;81;1,00;1790;96,3;96,6;96,7;0,70;0,80;0,85;1760
