PotenciaWts;PotenciaHP;Carcaca;ConjugadoNominal;CorrenteRotorBloqueado;ConjugadoRotorBloqueado;ConjugadoMaximo;MomentoInercia;TempoMaximoRotorBloqQuente;TempoMaximoRotorBloqFrio;Peso;NivelPressaoSonora;FatorServico;RPM;RendimentoH1;RendimentoH2;RendimentoH3;PorcCarga;FatorPotencia;FatorPotencia2;CorrenteNominal
0,12;0,16;63;0,104;3,4;2,0;2,1;0,0006;43;95;7,7;47;1,15;1120;41,0;48,0;52,0;0,41;0,50;0,59;1,02
0,18;0,25;71;0,161;3,2;2;2,1;0,0006;61;134;7,5;47;1,15;1090;48,0;55,0;58,0;0,40;0,50;0,59;1,38
0,25;0,33;71;0,223;3,3;1,95;2;0,0008;56;123;8,0;47;1,15;1090;53,0;61,0;62,0;0,41;0,52;0,61;1,72
0,37;0,5;80;0,323;4,1;1,8;2,1;0,0024;20;44;11,5;47;1,15;1115;58,0;63,0;64,0;0,51;0,64;0,74;2,04
0,55;0,75;80;0,480;4,6;2,25;2,4;0,0032;21;46;14,5;47;1,15;1115;63,0;68,0;70,0;0,50;0,63;0,73;2,81
0,75;1;90S;0,641;5,5;2,4;2,6;0,0066;24;53;19,0;49;1,15;1140;76,0;79,0;80,5;0,50;0,63;0,72;3,42
1,1;1,5;90S;0,952;4,8;2,1;2,3;0,0143;16;35;19,0;49;1,15;1125;76,5;77,0;77,0;0,53;0,67;0,75;4,98
1,5;2;100L;1,27;6,0;2,45;2,9;0,0256;28;62;30,5;48;1,15;1150;81,5;83,7;83,9;0,49;0,62;0,70;6,66
2,2;3;100L;1,86;5,9;2,55;2,9;0,0530;19;42;33,0;48;1,15;1150;82,0;84,0;83,9;0,50;0,63;0,71;9,68
3;4;112M;2,55;6,1;2,3;2,6;0,0568;21;46;42,0;52;1,15;1145;86,1;86,5;86,5;0,56;0,69;0,75;12,1
3,7;5;132S;3,09;6,3;1,8;2,6;0,0566;40;88;61,0;55;1,15;1165;87,1;87,7;87,7;0,53;0,66;0,73;15,1
4,5;6;132S;3,78;6,0;2,3;2,4;0,0755;34;75;62,0;55;1,15;1160;87,0;88,0;88,0;0,55;0,67;0,74;18,2
5,5;7,5;132M;4,62;6,3;1,85;2,6;0,0755;24;53;75,0;55;1,15;1160;88,1;88,5;88,5;0,54;0,67;0,74;22,0
